Name,Service,Phone number,Address,Website,Menu,Order
"Putu Bambu Juriah, Ayer Hitam", Dine-in · Takeaway,+60 17-747 3550,"Taman Ayer Hitam, 86100 Ayer Hitam, Johor, Malaysia",#,[],[]
Josuke Restoran Ayer Hitam, Dine-in · Takeaway,+60 17-649 1975,"765, Jalan Batu Pahat, Kampung Baru Ayer Hitam, 86100 Ayer Hitam, Johor, Malaysia",#,[],[]
Borhana CafeWebsiteDirections            Saved (0) Saved Save     , Dine-in · Takeaway,+60 17-753 0695,"NO.33 BAZAR ARENA WARNA, Jln Bandar Baru, 86100 Ayer Hitam, Johor, Malaysia",http://foodpanda.my/,[],[]
Kedai Kopi Tang ChuanDirections            Saved (0) Saved Save     , Dine-in · Takeaway,+60 12-726 9989,"MY Johor, 763, Jalan Batu Pahat, Taman Ayer Hitam, 86100, Malaysia",#,[],[]
Marrybrown, Dine-in · Takeaway · Delivery,+60 7-758 2328,"Jalan Putra 1, Pusat Bandar Baru Ayer Hitam, 86100 Ayer Hitam, Johor, Malaysia",http://marrybrown.com.my/,[],[]
NASEEB CAPATI NANDirections            Saved (0) Saved Save     , Dine-in · Curbside pickup,+60 11-5122 0039,"11, Jalan Bandar Baru 6, Pusat bandar bahru, 86100 Ayer Hitam, Johor, Malaysia",#,[],[]
Restaurant Al-Aashik, Dine-in · Takeaway,+60 10-882 4786,"Pusat Bandar Baru Ayer Hitam, 86100 Ayer Hitam, Johor, Malaysia",https://m.facebook.com/pages/Restaurant-Al-Aashik/486460048515732?hc_ref=ARTAnKHvwCHqpQjrHKQVwsnR9kUw7NdN3f52aA1wWDR6erQ63iL9Vs0Pjhi-fhRp1r0&fref=tag,[],[]
Acey Burger Ent, Dine-in,+60 17-766 8619,"Terminal Bas and Teksi, Pusat Bandar Baru Ayer Hitam, 86100 Ayer Hitam, Johor, Malaysia",#,[],[]
Restoran Lir Ilir Ayer Hitam, Dine-in · Takeaway,+60 17-732 5963,"No 2 bawah Jalan Putra 1 Taman Medan Putra, Ayer Hitam, 86100 Batu Pahat, Johor, Malaysia",https://m.facebook.com/pages/Restoran-Lir-Ilir-Ayer-Hitam/1705982926352832,[],[]
Beriani Hj. Ma'mor, Dine-in · Takeaway,+60 12-764 7984,"No. 4, Gerai Bazar Niaga, Jalan Batu Pahat, 86100, 86100 Ayer Hitam, Johor, Malaysia",https://m.facebook.com/pages/nasi-beriani-haji-mamur/2790955521129872,[],[]
Tong Hong Restaurant, Dine-in · Takeaway,+60 7-758 1019,"No. 24, Jalan Johor, Johor, 86100 Ayer Hitam, Malaysia",#,[],[]
Mj CornerWebsiteDirections            Saved (0) Saved Save     , Dine-in · Takeaway,+60 19-784 2255,"Jln Besar, 86100 Ayer Hitam, Johor, Malaysia",https://www.facebook.com/MJ-Corner-169564720323262/,[],[]
Traffic Light Corner, Dine-in · Takeaway,+60 18-311 1906,"17, Jln Yong Peng, Taman Ayer Hitam, 86100 Ayer Hitam, Johor, Malaysia",#,[],[]
Chef Tako SAWebsiteDirections            Saved (0) Saved Save     , Dine-in · Takeaway · Delivery,+60 17-706 0962,"32, Jalan 1/3, Pusat Bandar Baru Ayer Hitam, 86100 Ayer Hitam, Johor, Malaysia",https://m.facebook.com/cheftakosa/?refsrc=https%3A%2F%2Fm.facebook.com%2Fwatch%2Fcheftakosa%2F,[],[]
LINDA CAFE, Dine-in · Takeaway,+60 10-662 7392,"55a, Jln Bandar Baru 3, 86100 Ayer Hitam, Johor, Malaysia",https://m.facebook.com/lindacafe/,[],[]
Warong Pt. Salleh Kairon, Dine-in · Takeaway,+60 17-782 1077,"86400 Ayer Hitam, Johor, Malaysia",#,[],[]
Pitt's Station, Dine-in · Takeaway,+60 13-653 9071,"8379, Jalan Batu Pahat, 86100 Ayer Hitam, Johor, Malaysia",#,[],[]
MISHA TOM YAMWebsiteDirections            Saved (0) Saved Save     , Dine-in · Takeaway,+60 17-771 2520,"No.6, Jalan Banda Baru 7, Pusat, Pusat Bandar Baru Ayer Hitam, 86100 Ayer Hitam, Johor, Malaysia",https://m.facebook.com/mishatomyam/,[],[]
Rawang Burger Bakar Ayer Hitam, Dine-in · Takeaway,+60 12-671 4799,"Jalan Kluang, Taman Ayer Hitam, 86100 Ayer Hitam, Johor, Malaysia",#,[],[]
Dongquanbao, Dine-in · Takeaway,+60 12-726 9989,"86100 Ayer Hitam, Johor, Malaysia",https://www.facebook.com/%E4%BA%9A%E4%BE%9D%E6%B7%A1%E4%B8%9C%E6%B3%89%E5%8C%85%E5%BA%97-227747093917418/,[],[]
Air Hitam bakery house, Dine-in · Takeaway,+60 12-776 6713,"Jalan Keluang, Kampung Baru Ayer Hitam, 86100 Ayer Hitam, Johor, Malaysia",#,[],[]
Din Kecik Roti CanaiDirections            Saved (0) Saved Save     , Dine-in,+60 17-824 2102,"NO.34 BAZAR ARENA WARNA, Jln Bandar Baru, Pusat Bandar Baru Ayer Hitam, 86100, Johor, Malaysia",#,[],[]
Warong Mak Eton, Dine-in · Takeaway,+60 11-3669 2204,"Jalan Kaloi, Taman Ayer Hitam, 86100 Ayer Hitam, Johor, Malaysia",#,[],[]
Dapur Mak Long 1000, Dine-in · Takeaway,+60 16-750 0958,"Taman Ayer Hitam, 86100 Ayer Hitam, Johor, Malaysia",#,[],[]
PORT KITA, Dine-in · Takeaway,+60 19-772 0262,"86000, Jalan Parit Haji Siraj, 86400 Ayer Hitam, Johor, Malaysia",#,[],[]
Mad Nor Lemang, Dine-in · Takeaway,+60 17-780 0159,"69, JALAN BESAR BATU 9, KAMPUNG MELAYU, 86100 Ayer Hitam, Johor, Malaysia",#,[],[]
700 streetmeal restaurant, Dine-in · Takeaway,+60 17-755 2276,"medah streetmall, no 10, tingkat bawah, Jalan Medah, 86100 Ayer Hitam, Johor, Malaysia",#,[],[]
KFC Bandar Baru Ayer Hitam Johor, Dine-in · Drive-through · Delivery,+60 7-758 1257,"No. 1 & 2, Jln Bandar Baru 1, 86100 Ayer Hitam, Johor, Malaysia",https://kfc.com.my/,[],['http://kfc.com.my/']
"Route 50 Tempat Biasa Nasi Lemak Bonda,Ayer HitamDirections            Saved (0) Saved Save     ", Dine-in · Takeaway,+60 11-5658 4656,"No.12, Bazar Niaga, Jalan Batu Pahat, 86100 Ayer Hitam, Johor, Malaysia",#,[],[]
ShaNaz Burger, Dine-in · Takeaway,+60 13-779 5263,"32-2, Jalan 1/3, 86100 Ayer Hitam, Johor, Malaysia",#,[],[]
MamaMia Good Ol' Kitchen, Dine-in · Takeaway,+60 17-741 4269,"86000, Jalan Bunga Tanjung, Kampung Melayu Batu Lima, 86100 Ayer Hitam, Johor, Malaysia",#,[],[]
N&H BURGER LONG, Dine-in · Takeaway,+60 10-778 4421,"No. 55, Jln Bandar Baru, 86100 Ayer Hitam, Johor, Malaysia",#,[],[]
Air Hitam Ikan Bakar, Dine-in · Takeaway,+60 17-739 6962,"Taman Ayer Hitam, 86100 Ayer Hitam, Johor, Malaysia",https://m.facebook.com/pages/Ayer-Hitam-Ikan-Bakar/925223764534032,[],[]
Warung Rendang Bonda Ayer hitam, Dine-in · Takeaway,+60 18-257 4786,"Kampung Sri Desa, 86200 Ayer Hitam, Johor, Malaysia",#,[],[]
Tomyam Sahabat, Dine-in · Takeaway,+60 17-309 0611,"20, 2, Jalan Tapah, Taman Mekar, 86100 Ayer Hitam, Johor, Malaysia",#,[],[]
Seri Pinang StallDirections            Saved (0) Saved Save     , Dine-in · Takeaway,+60 14-278 9996,"Jalan Batu Pahat, 86100 Ayer Hitam, Johor, Malaysia",#,[],[]
