Name,Service,Phone number,Address,Website,Menu,Order
Nelayan Seafood By The CoastDirections            Saved (0) Saved Save     , Dine-in · Drive-through · Delivery,+60 7-833 8803,"Tunamaya Beach & Spa Resort - Desaru Coast, Bandar Penawar, 81930 Bandar Penawar, Johor, Malaysia",#,['https://www.facebook.com/media/set/?set=a.321868545079722&type=1&l=fc257e1b0b'],['https://www.foodpanda.my/restaurant/d4ss/nelayan-seafood-by-the-coast?utm_source=google&utm_medium=organic&utm_campaign=google_reserve_place_order_action']
49 Cafe & BistroWebsiteDirections            Saved (0) Saved Save     , Dine-in · Takeaway,+60 17-775 3942,"No 118 & 118, 01, Jalan Kempas 2, Taman Desaru Utama, 81900 Bandar Penawar, Johor, Malaysia",https://49cafebistro.business.site/?utm_source=gmb&utm_medium=referral,[],[]
D'laksamana Seafood, Dine-in · Takeaway,+60 12-774 5280,"81930 Bandar Penawar, Johor, Malaysia",#,[],[]
Raihana BistroDirections            Saved (0) Saved Save     , Dine-in · Takeaway · Delivery,+60 19-788 6356,"No 1& 3 bahru, jalan kempas, Taman Desaru Utama, 81930 Bandar Penawar, Johor, Malaysia",#,[],[]
Desaru Shi Wei Sin Seafood RestaurantDirections            Saved (0) Saved Save     , Dine-in · Takeaway,+60 7-822 2203,"3&5, Jalan Kempas 3, Taman Desaru Utama, 82200 Bandar Penawar, Johor, Malaysia",#,[],[]
Restoran Dapur Selera Iza, Dine-in · Takeaway,+60 19-772 7769,"23-31, Jalan Kempas 1, 82200 Bandar Penawar, Johor, Malaysia",#,[],[]
Desaru Seafood Corner 迪沙鲁海鲜馆WebsiteDirections            Saved (0) Saved Save     , Dine-in · Takeaway · Delivery,+60 7-886 1137,"10-1,9-01,8, 01, Jalan Semarak 1, Desaru, 81930 Bandar Penawar, Johor, Malaysia",http://www.facebook.com/desaruseafoodcorner55/,[],['https://www.foodpanda.my/restaurant/kbln/desaru-seafood-corner?utm_source=google&utm_medium=organic&utm_campaign=google_reserve_place_order_action']
"Dee Pondok Desaru,Bandar Penawar", Dine-in · Takeaway,+60 12-928 5442,"90, 81600 Bandar Penawar, Johor, Malaysia",#,[],[]
Prego - The Westin Desaru Coast ResortWebsiteDirections            Saved (0) Saved Save     , Dine-in · Takeaway,+60 7-838 3815,"Jln Pantai 3, Desaru Coast, 81930 Bandar Penawar, Johor, Malaysia",https://www.marriott.com/hotels/hotel-information/restaurant/jhbwi-the-westin-desaru-coast-resort/,['https://drive.google.com/drive/folders/1-EYEvrfkNTH2XaU-Tz4acu-UXPhNjzz7'],[]
Woodfire Burgers Desaru, Dine-in · Takeaway · Delivery,+60 11-1019 0812,"4, Jalan Dato Onn, Bandar Penawar, 81930 Bandar Penawar, Johor, Malaysia",#,[],[]
Restoran Nasi Arab Buner Kabana, Dine-in · Takeaway · Delivery,+60 19-762 4142,"77, Jalan Kempas 1, Taman Desaru Utama, 81930 Bandar Penawar, Johor, Malaysia",#,[],[]
899 Good Restaurant, Dine-in · Takeaway,+60 7-886 1977,"Jalan Kempas 1, Taman Desaru Utama, 82200 Bandar Penawar, Johor, Malaysia",#,[],[]
Restoran Nasi Lemak Kukus & Nasi Kukus DesaruDirections            Saved (0) Saved Save     , Dine-in · Takeaway,+60 10-827 9300,"Jalan Kempas 2, 82200 Bandar Penawar, Johor, Malaysia",#,[],[]
Restoran Aneka Desaru, Dine-in · Takeaway,+60 13-227 6666,"97, Jalan Kempas 1, Taman Desaru Utama, 81930 Bandar Penawar, Johor, Malaysia",#,[],[]
Restoran Nur Erfan, Dine-in · Takeaway · Delivery,+60 17-607 0603,"81930 Bandar Penawar, Johor, Malaysia",#,[],[]
Restoran MK Swat Jalal, Dine-in · Takeaway,+60 16-743 3442,"Bandar Penawar, 82200 Kota Tinggi, Johor, Malaysia",https://www.facebook.com/restoran-mk-swat-jalal-sdn-bhd-1371701552874433/,[],[]
Ayam Penyet Z&Z, Dine-in · Takeaway · Delivery,+60 16-775 3975,"Bandar Penawar, 82200 Kota Tinggi, Johor, Malaysia",#,[],[]
Local Kitchen, Dine-in · Takeaway,+60 7-822 2222,"Pulai Desaru Beach Resort Hotel, Lot PTD 1674, Mukim Pantai Timor, 81930, Bandar Penawar, Johor, 81930 Bandar Penawar, Malaysia",#,[],[]
"Restoran Ehsan Jaya, Penawar", Dine-in · Takeaway,+60 7-886 1148,"1, Jalan Cengal 2, Taman Desaru Utama, 82200 Bandar Penawar, Johor, Malaysia",#,[],[]
