Name,Service,Phone number,Address,Website,Menu,Order
BEKOK@ 标记云吞面 Poey Kee Wanton Noodle, Dine-in · Takeaway,+60 11-1086 5807,"Jalan Gunong, 86500 Bekok, Segamat Johor Bekok, 86500 Segamat, Johor, Malaysia",https://bekokpoeykeewantonnoodle.business.site/?utm_source=gmb&utm_medium=referral,[],[]
彼咯妈咪早餐店 MOMMY BREAKFAST (Bekok), Dine-in · Takeaway,+60 13-744 8918,"MY Johor SEGAMAT Jalan Sultan, Jln Gunung, 86500, Malaysia",#,[],[]
老友记云吞面, Dine-in · Takeaway,+60 13-720 9336,"E-- 4, Jln Hoe Peng, Kampung Bekok, 86500 Bekok, Johor, Malaysia",#,[],[]
Char Kuey Teow Bekok, Dine-in · Takeaway,+60 18-874 1789,"Jln Gunung, Kampung Bekok, 85400 Bekok, Johor, Malaysia",#,[],[]
Warung Tok Pah, Dine-in · Takeaway,+60 13-767 7202,"Jln Satria 2, Kampung Bekok, 85400 Labis, Johor, Malaysia",#,[],[]
KEDAI MAKAN FAH HING,,+60 11-1087 0912,"A2, Jln Sultan, Kampung Bekok, 86500 Bekok, Johor, Malaysia",#,[],[]
Warung Rahman Salan, Dine-in · Takeaway,+60 19-725 8061,"Jln Kg Panca Jaya, Bekok, 85400 Labis, Johor, Malaysia",#,[],[]
Kedai Kopi Tong Heng, Dine-in · Takeaway,+60 16-732 9795,"47, Jalan Station, Kampung Bekok, 85400 Chaah, Johor, Malaysia",#,[],[]
Cik Nisa Pau Puteri, Takeaway,+60 18-772 4532,"Jln Pasar, Kampung Bekok, 85400 Bekok, Johor, Malaysia",#,[],[]
吗咯烧鱼食坊WebsiteDirections            Saved (0) Saved Save     , Dine-in · Drive-through · No delivery,+60 11-1087 0912,"A2jalan Sultan 86500bekok Johor, 86500 Johor, Malaysia",https://www.facebook.com/%E5%90%97%E5%92%AF%E7%83%A7%E9%B1%BC%E9%A3%9F%E5%9D%8A-101087715884094,[],[]
阿来辣沙, Dine-in · Takeaway,+60 11-1066 9909,"12, Jln Gunung, Kampung Bekok, 85400 Chaah, Johor, Malaysia",#,[],[]
竹林啤酒园, Dine-in · Takeaway,+60 18-941 4098,"2, J150, Kampung Bekok, 85400 Chaah, Johor, Malaysia",#,[],[]
妈咪早餐店, Dine-in · Takeaway,+60 13-744 8918,"12, Jln Gunung, Kampung Bekok, 85400 Chaah, Johor, Malaysia",#,[],[]
3+3 茶餐室, Dine-in · Takeaway,+60 11-1066 9909,"655-625, Jln Wijaya, Kampung Bekok, 85400 Chaah, Johor, Malaysia",#,[],[]
老爹炒粿条WebsiteDirections            Saved (0) Saved Save     , Takeaway,+60 14-910 4056,"26, Jalan chaah, Kampung Bekok, 86500 Bekok, Johor, Malaysia",https://cafe-30426.business.site/?utm_source=gmb&utm_medium=referral,[],[]
Kabin Raja BakarDirections            Saved (0) Saved Save     , Dine-in · Takeaway,+60 18-785 8755,"1, Jalan Merawan, Taman Sri Chaah Chaah, 85400 Segamat, Johor, Malaysia",#,[],[]
人甜People Sugar, Dine-in · Takeaway,+60 16-714 2879,"G-30, Taman Wijaya Jalan Wijaya 86500 Bekok, Johor Bekok, 86500 Segamat, Johor, Malaysia",https://www.facebook.com/%E4%BA%BA%E7%94%9CPeopleSugar-110651634604734,[],[]
Hakka Heritage Gallery Bekok,,+60 19-969 1838,"5, Jalan Station, Kampung Bekok, 85400 Chaah, Johor, Malaysia",#,[],[]
ONE STOP CENTRE THE BEST FOOD LABIS 2021Directions            Saved (0) Saved Save     , Dine-in · Curbside pickup,+60 13-671 5444,"Kampung Usaha Jaya, 85300 Labis, Johor, Malaysia",#,[],[]
Ayam Bakar Abg Senyummm, Dine-in · Takeaway,+60 13-671 5444,"Kampung Usaha Jaya, 85300 Labis, Johor, Malaysia",#,[],[]
Restoran PuaziahWebsiteDirections            Saved (0) Saved Save     , Dine-in · Takeaway,+60 11-6938 5574,"29,Bawah, Jalan Industri Taman Perindustrian 85400 Chaah, 85400 Segamat, Johor, Malaysia",https://restoran-puaziah.business.site/?utm_source=gmb&utm_medium=referral,[],[]
Kak Ina Corner, Dine-in · Takeaway,+60 19-780 6380,"No. 52 Jln Sidek Kg. Jawa, 85400 Chaah, Johor, Malaysia",#,[],[]
