Name,Phone number,Address,Website
Sweetree RestaurantWebsiteDirections            Saved (0) Saved Save     ,+60 17-282 1550,"L1, 12 L1 & 13, L2, Jalan Ampang Putra, Taman Putra Sulaiman, 68000 Ampang, Selangor, Malaysia",http://www.sweetree.net/
La Risata Bar Pizzeria Ristorante (Ampang)WebsiteDirections            Saved (0) Saved Save     ,+60 3-4252 6269,"16, Persiaran Ampang, Kuala Ampang, 55000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",http://la-risata.com/
YaHala Restaurant - AmpangWebsiteDirections            Saved (0) Saved Save     ,+60 3-4266 3552,"1, Jalan Nipah, Kampung Berembang, 55000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",http://www.yahalares.com/
Tehran RestaurantWebsiteDirections            Saved (0) Saved Save     ,+60 12-505 5909,"Business Avenue, A 10-1-1, Jalan Ampang Utama 2/2, One Ampang, Taman Ampang Utama, 68000 Ampang Jaya, Selangor, Malaysia",https://easyeat.ai/r/tehran-restaurant
Royal Family RestaurantWebsiteDirections            Saved (0) Saved Save     ,+60 11-1123 8442,"Unit 10، L1, Jalan Ampang Putra, Taman Putra Sulaiman, 68000 Ampang Jaya, Selangor, Malaysia",https://www.facebook.com/royalfamilyrest/
Mohd Chan Restaurant @ Ampang,+60 11-2330 5584,"Ground Floor, No 39 & 40, Jln Mamanda 9, Taman Dato Ahmad Razali, 68000 Ampang, Selangor, Malaysia",http://www.mohdchan.com.my/
QASAR BALQIS RESTAURANT (Ampang),+60 3-4266 8681,"Jalan 5, 498, Jln Ampang, Batu 4 1, 68000 Ampang, Selangor, Malaysia",http://www.qasarbalqis.com/
Chalet Suisse RestaurantWebsiteDirections            Saved (0) Saved Save     ,+60 3-4252 4589,"No.C11-1, Jalan 1 & Jalan Ampang Utama 1/1, One Ampang Avenue, 68000 Ampang, Selangor, Malaysia",http://chaletsuisse.com.my/
Brix RestaurantWebsiteDirections            Saved (0) Saved Save     ,+60 3-4266 9492,"R-6-G, Ground Floor, M City Ampang, 326, Jalan Ampang, Ampang, 50450 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",http://www.brix.com.my/
Naan Corner RestaurantDirections            Saved (0) Saved Save     ,+60 16-947 2020,"12, Lorong Kerja Air Lama 2, Ukay Heights, 68000 Ampang, Selangor, Malaysia",#
Kabul Darbar RestaurantWebsiteDirections            Saved (0) Saved Save     ,+60 11-3610 7004,"B14-1 Batu, 4.5, Jalan Ampang Utama 2/2, 68000 Ampang, Selangor, Malaysia",https://easyeat.ai/r/kabul-darbar
