Name,Service,Phone number,Address,Website,Menu,Order
Sweetree RestaurantWebsiteDirections            Saved (0) Saved Save     , Dine-in · Takeaway,+60 17-282 1550,"L1, 12 L1 & 13, L2, Jalan Ampang Putra, Taman Putra Sulaiman, 68000 Ampang, Selangor, Malaysia",http://www.sweetree.net/,['https://sweetree.net/ala-carte'],"['https://sweetree.oddle.me/en_MY/', 'https://api.whatsapp.com/send/?phone=60172821550&text&app_absent=0', 'https://www.foodpanda.my/restaurant/c2na/sweetree-restaurant?utm_source=google&utm_medium=organic&utm_campaign=google_reserve_place_order_action']"
La Risata Bar Pizzeria Ristorante (Ampang)WebsiteDirections            Saved (0) Saved Save     , Dine-in · Takeaway · Delivery,+60 3-4252 6269,"16, Persiaran Ampang, Kuala Ampang, 55000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",http://la-risata.com/,['http://linktr.ee/Larisata'],"['http://larisata.beepit.com/', 'https://link.gem.live/YMmj/larisataampang', 'https://www.tableapp.com/delivery/la-risata-ampang']"
Mohd Chan Restaurant @ Ampang, Dine-in · Takeaway · No-contact delivery,+60 11-2330 5584,"Ground Floor, No 39 & 40, Jln Mamanda 9, Taman Dato Ahmad Razali, 68000 Ampang, Selangor, Malaysia",http://www.mohdchan.com.my/,[],[]
Tehran RestaurantWebsiteDirections            Saved (0) Saved Save     , Dine-in · Takeaway,+60 12-505 5909,"Business Avenue, A 10-1-1, Jalan Ampang Utama 2/2, One Ampang, Taman Ampang Utama, 68000 Ampang Jaya, Selangor, Malaysia",https://easyeat.ai/r/tehran-restaurant,[],['https://www.foodpanda.my/restaurant/j5ov/tehran-restaurant?utm_source=google&utm_medium=organic&utm_campaign=google_reserve_place_order_action']
YaHala Restaurant - AmpangWebsiteDirections            Saved (0) Saved Save     , Dine-in · Takeaway · No-contact delivery,+60 3-4266 3552,"1, Jalan Nipah, Kampung Berembang, 55000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",http://www.yahalares.com/,['https://yahalares.com/food-menu'],"['https://food.grab.com/my/en/restaurant/yahala-restaurant-ampang-delivery/1-CZEAJ74JA3TFVJ', 'https://www.foodpanda.my/restaurant/s9wn/yahala-restaurant-ampang?utm_source=google&utm_medium=organic&utm_campaign=google_reserve_place_order_action']"
Las Carretas Mexican Restaurant & Bar @Ampang, Dine-in · Takeaway · Delivery,+60 3-4257 1668,"22, Persiaran Ampang, Desa Pahlawan, 55000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",https://lascarretas.com/,[],[]
QASAR BALQIS RESTAURANT (Ampang), Dine-in · Takeaway · No-contact delivery,+60 3-4266 8681,"Jalan 5, 498, Jln Ampang, Batu 4 1, 68000 Ampang, Selangor, Malaysia",http://www.qasarbalqis.com/,[],[]
Royal Family RestaurantWebsiteDirections            Saved (0) Saved Save     , Dine-in · Takeaway,+60 11-1123 8442,"Unit 10، L1, Jalan Ampang Putra, Taman Putra Sulaiman, 68000 Ampang Jaya, Selangor, Malaysia",https://www.facebook.com/royalfamilyrest/,[],[]
Chalet Suisse RestaurantWebsiteDirections            Saved (0) Saved Save     , Dine-in · Takeaway,+60 3-4252 4589,"No.C11-1, Jalan 1 & Jalan Ampang Utama 1/1, One Ampang Avenue, 68000 Ampang, Selangor, Malaysia",http://chaletsuisse.com.my/,[],[]
Naan Corner RestaurantDirections            Saved (0) Saved Save     , Dine-in · Takeaway,+60 16-947 2020,"12, Lorong Kerja Air Lama 2, Ukay Heights, 68000 Ampang, Selangor, Malaysia",#,[],[]
Restaurant Yeah CuisineWebsiteDirections            Saved (0) Saved Save     , Dine-in · Curbside pickup · No-contact delivery,+60 14-201 1302,"No. 41, Jalan Awan, Kuala Ampang, 68000 Ampang, Selangor, Malaysia",https://www.facebook.com/yeahcuisine,['https://www.facebook.com/yeahcuisine/menu/'],"['https://yeahcuisine.oddle.me/en_MY', 'https://www.foodpanda.my/restaurant/q2bq/yeah-cusine?utm_source=google&utm_medium=organic&utm_campaign=google_reserve_place_order_action']"
b.stationWebsiteDirections            Saved (0) Saved Save     , Dine-in · Curbside pickup · No-contact delivery,+60 3-4251 0455,"Malaysia, Selangor, Ampang Jaya, C14, Ground floor 1, Jalan Ampang Utama 1/1",https://www.facebook.com/Bstation,['https://www.facebook.com/Bstation/photos/ms.c.eJw9zcENwDAIQ9GNKsAGk~;0Xq0KbXJ~_~_bGcAaqdbhsseH1AuybuX~;9CpKUIHAgN1C9YA~_mywNwTqFPhe8r7IiM7kHS1tYNoLH70ekA~-~-.bps.a.1423377374385580/1423378141052170/?type=3&theater'],[]
Naili's PlaceDirections            Saved (0) Saved Save     , Dine-in · Takeaway · Delivery,+60 3-4265 7165,"39, Jln Mamanda 9, Taman Dato Ahmad Razali, 68000 Ampang, Selangor, Malaysia",#,[],['https://www.foodpanda.my/restaurant/r6lw/naili-s-place?utm_source=google&utm_medium=organic&utm_campaign=google_reserve_place_order_action']
